Sin título1.acq
Gráfico creado el:2026-06-19 15:39:43.750
Registro en:2026-06-19 17:09:16.427
1 mseg/muestras
2 canales
ECG (.05 - 150 Hz)
mV
EEG (.5 - 100 Hz, con Filtro Red) 
micro V
min	CH1	CH2	
	144925 samples	144925 samples	
0.003	0.065918	24.5819	
0.00301667	0.0622559	16.9067	
0.00303333	0.0579834	2.56348	
0.00305	0.0479126	-7.32422	
0.00306667	0.0369263	-1.83105	
0.00308333	0.0323486	11.2	
0.0031	0.0372314	21.4844	
0.00311667	0.0442505	27.771	
0.00313333	0.0543213	27.2217	
0.00315	0.0686646	16.1743	
0.00316667	0.0750732	0.732422	
0.00318333	0.0796509	-3.89099	
0.0032	0.0900269	4.47083	
0.00321667	0.103455	15.0909	
0.00323333	0.112	23.6053	
0.00325	0.111694	28.1677	
0.00326667	0.102234	29.9225	
0.00328333	0.0909424	27.9236	
0.0033	0.0827026	19.1345	
0.00331667	0.072937	4.74548	
0.00333333	0.0588989	-1.40381	
0.00335	0.0408936	6.98853	
0.00336667	0.032959	19.7296	
0.00338333	0.0402832	28.8391	
0.0034	0.0482178	33.2947	
0.00341667	0.0561523	29.5715	
0.00343333	0.0671387	18.8293	
0.00345	0.0741577	8.95691	
0.00346667	0.0790405	9.84192	
0.00348333	0.0842285	15.6403	
0.0035	0.090332	19.3939	
0.00351667	0.0961304	24.4904	
0.00353333	0.0939941	31.2195	
0.00355	0.0863647	35.2936	
0.00356667	0.0753784	32.6996	
0.00358333	0.0701904	21.1487	
0.0036	0.0643921	6.42395	
0.00361667	0.0549316	5.44739	
0.00363333	0.0466919	18.7683	
0.00365	0.0430298	32.0435	
0.00366667	0.043335	39.3677	
0.00368333	0.0497437	39.3066	
0.0037	0.062561	29.6326	
0.00371667	0.0759888	15.5945	
0.00373333	0.0894165	7.98035	
0.00375	0.103455	12.9852	
0.00376667	0.115662	19.6686	
0.00378333	0.121765	25.7416	
0.0038	0.117798	30.9296	
0.00381667	0.106506	33.432	
0.00383333	0.0949097	32.1808	
0.00385	0.0848389	25.6195	
0.00386667	0.0753784	12.7716	
0.00388333	0.0643921	3.75366	
0.0039	0.050354	9.52148	
0.00391667	0.0387573	22.9645	
0.00393333	0.0360107	32.9285	
0.00395	0.0473022	38.2996	
0.00396667	0.0674438	36.3007	
0.00398333	0.0848389	24.7498	
0.004	0.0894165	11.795	
0.00401667	0.0857544	7.90405	
0.00403333	0.0866699	13.1836	
0.00405	0.0942993	18.6462	
0.00406667	0.100098	24.1699	
0.00408333	0.0964355	29.5563	
0.0041	0.085144	31.4331	
0.00411667	0.0708008	30.304	
0.00413333	0.0610352	23.7427	
0.00415	0.0567627	11.9629	
0.00416667	0.0476074	7.70569	
0.00418333	0.0335693	15.625	
0.0042	0.0244141	26.9928	
0.00421667	0.0262451	35.2478	
0.00423333	0.0363159	40.1154	
0.00425	0.0567627	36.7889	
0.00426667	0.0784302	24.5209	
0.00428333	0.0964355	13.2599	
0.0043	0.111694	14.5264	
0.00431667	0.125427	19.8822	
0.00433333	0.130615	25.4059	
0.00435	0.130615	31.8298	
0.00436667	0.131531	36.972	
0.00438333	0.128479	38.9099	
0.0044	0.126343	35.2631	
0.00441667	0.117798	23.1628	
0.00443333	0.100098	9.2926	
0.00445	0.0787354	8.49915	
0.00446667	0.0570679	20.3552	
0.00448333	0.0393677	31.7993	
